# p_b(Pa) T1(K)
52 18
81 19
87 20
94 21
100 22
104 23
106 24
108 25
112 26
117 27
122 28
127 29
130 30
136 31
138 32
142 33
143 34
146 35
148 36
152 37
155 38
160 39
162 40
166 41
167 42
173 43
177 44
186 45
187 46
195 47
198 48
200 49
207 50
216 51
222 52
226 53
231 54
238 55
246 56
250 57
258 58
260 59
267 60
278 61
285 62
289 63
290 64
301 65
317 66
320 67
334 68
343 69
350 70
464 78
478 79
500 80
528 81
549 82
563 83
575 84
599 85
629 86
643 87
666 88
696 89
715 90
748 91
793 92
809 93
839 94
862 95
898 96
919 97
962 98
986 99
1016 100
