t(s)  T_1 (C)  T_2 (C)   p_a (bar)  p_b (bar)  P (W)
   0     21.5      21.5        4.2        3.8    
  60     23.3      20.7        3.9        5.3    
 120     24.7      19.3        3.6        5.9    
 180     26.4      17.7        3.6        6.0    
 240     27.9      16.6        3.6        6.4    
 300     29.5      15.6        3.5        6.8  125.0
 360     31.0      14.6        3.3        7.0  125.0
 420     32.5      13.5        3.2        7.4  125.0
 480     33.8      12.5        3.0        7.5  125.0
 540     35.1      11.5        2.4        8.0  125.0
 600     36.2      10.6        2.8        8.1  125.0
 660     37.5       9.6        2.7        8.5  125.0
 720     38.5       8.7        2.8        8.9  125.0
 780     39.6       7.8        2.5        9.0  125.0
 840     40.6       7.1        2.4        9.1  115.0
 900     41.5       6.2        2.4        9.3  115.0
 960     42.4       5.5        2.2        9.7  115.0
1020     43.3       4.7        2.1        9.9  115.0
1080     44.1       4.0        2.1       10.1  115.0
1140     44.8       3.3        2.1       10.2  115.0
1200     45.6       2.7        2.0       10.5  115.0
1260     46.3       2.1        2.0       10.8  115.0
1320     47.1       1.4        1.9       11.0  115.0
1380     47.8       0.8        1.8       11.1  115.0
1440     48.4       0.3        1.8       11.2  115.0
1500     49.0      -0.2        1.8       11.6  115.0
1560     49.5      -0.7        1.8       11.8  115.0
1620     50.0      -0.1        1.8       12.0  115.0
