# T1(K) p_b(Pa)
294.650000 480000.000000
296.450000 630000.000000
297.850000 690000.000000
299.550000 700000.000000
301.050000 740000.000000
302.650000 780000.000000
304.150000 800000.000000
305.650000 840000.000000
306.950000 850000.000000
308.250000 900000.000000
309.350000 910000.000000
310.650000 950000.000000
311.650000 990000.000000
312.750000 1000000.000000
313.750000 1010000.000000
314.650000 1030000.000000
315.550000 1070000.000000
316.450000 1090000.000000
317.250000 1110000.000000
317.950000 1120000.000000
318.750000 1150000.000000
319.450000 1180000.000000
320.250000 1200000.000000
320.950000 1210000.000000
321.550000 1220000.000000
322.150000 1260000.000000
322.650000 1280000.000000
323.150000 1300000.000000
