   t     T1     T2
   0 294.65 294.65
  60 296.45 293.85
 120 297.85 292.45
 180 299.55 290.85
 240 301.05 289.75
 300 302.65 288.75
 360 304.15 287.75
 420 305.65 286.65
 480 306.95 285.65
 540 308.25 284.65
 600 309.35 283.75
 660 310.65 282.75
 720 311.65 281.85
 780 312.75 280.95
 840 313.75 280.25
 900 314.65 279.35
 960 315.55 278.65
1020 316.45 277.85
1080 317.25 277.15
1140 317.95 276.45
1200 318.75 275.85
1260 319.45 275.25
1320 320.25 274.55
1380 320.95 273.95
1440 321.55 273.45
1500 322.15 272.95
1560 322.65 272.45
1620 323.15 273.05
